# M=26, N=13, Vp=0.0, t=1.0, n=1, Vstart=-2.0, Vstop=0.0, Vnum=201, PBC
# start time 2022-10-16 02:17:39
#                       V#                 S1(n=1)#                 S2(n=1)                 S3(n=1)#                 S4(n=1)#                 S5(n=1)#                 S6(n=1)#                 S7(n=1)#                 S8(n=1)#                 S9(n=1)#                S10(n=1)#               S1/2(n=1)#               Sinf(n=1)
     -4.600000000000E-01      2.498650955290E-02      8.263335372269E-03      6.210375471059E-03      5.509009437863E-03      5.153962443205E-03      4.937530573502E-03      4.790420477637E-03      4.682934415157E-03      4.600223506481E-03      4.534038370507E-03      1.059753605369E-01      3.638237943577E-04
     -4.700000000000E-01      2.594833546402E-02      8.646816980398E-03      6.499212927067E-03      5.764656451443E-03      5.392585415293E-03      5.165609010056E-03      5.011196312249E-03      4.898261931448E-03      4.811263160485E-03      4.741565157392E-03      1.082171330423E-01      3.769755934977E-04
     -4.800000000000E-01      2.692549410229E-02      9.039955658083E-03      6.795382315033E-03      6.026739033957E-03      5.637163003637E-03      5.399328877676E-03      5.237384561418E-03      5.118821165496E-03      5.027384230029E-03      4.954043493493E-03      1.104564502200E-01      3.902274751422E-04
     -4.900000000000E-01      2.791789827042E-02      9.442819709876E-03      7.098939501966E-03      6.295302447649E-03      5.887733304335E-03      5.638722644318E-03      5.469012865305E-03      5.344635410705E-03      5.248605983004E-03      5.171488853591E-03      1.126933235554E-01      4.035718280644E-04
     -5.000000000000E-01      2.892546319977E-02      9.855477965734E-03      7.409940907901E-03      6.570392289988E-03      6.144334564016E-03      5.883822770126E-03      5.706108713969E-03      5.575727679314E-03      5.474947283866E-03      5.393916194194E-03      1.149277642654E-01      4.170011107232E-04
     -5.100000000000E-01      2.994810667549E-02      1.027799989094E-02      7.728443592253E-03      6.852054566431E-03      6.407005243231E-03      6.134661763978E-03      5.948699498545E-03      5.812120749208E-03      5.706426636826E-03      5.621339993697E-03      1.171597837853E-01      4.305077664237E-04
     -5.200000000000E-01      3.098574881190E-02      1.071045553723E-02      8.054505220730E-03      7.140335657952E-03      6.675783982052E-03      6.391272146969E-03      6.196812472771E-03      6.053837123715E-03      5.943062144190E-03      5.853774209570E-03      1.193893934954E-01      4.440842315607E-04
     -5.300000000000E-01      3.203831204765E-02      1.115291559017E-02      8.388184104758E-03      7.435282352225E-03      6.950709624522E-03      6.653686471649E-03      6.450474768003E-03      6.300899043145E-03      6.184871515024E-03      6.091232284664E-03      1.216166049616E-01      4.577230379366E-04
     -5.400000000000E-01      3.310572090705E-02      1.160545130107E-02      8.729539153961E-03      7.736941798625E-03      7.231821172688E-03      6.921937274606E-03      6.709713344386E-03      6.553328434731E-03      6.431872014110E-03      6.333727095481E-03      1.238414296263E-01      4.714166614250E-04
     -5.500000000000E-01      3.418790195022E-02      1.206813450636E-02      9.078629894560E-03      8.045361521013E-03      7.519157793987E-03      7.196057079513E-03      6.974554990375E-03      6.811146909257E-03      6.684080456255E-03      6.581270944648E-03      1.260638788388E-01      4.851576186544E-04
     -5.600000000000E-01      3.528478378430E-02      1.254103767262E-02      9.435516507749E-03      8.360589447908E-03      7.812758844512E-03      7.476078415042E-03      7.245026336355E-03      7.074375771214E-03      6.941513213623E-03      6.833875566018E-03      1.282839643899E-01      4.989384789806E-04
     -5.700000000000E-01      3.639629696150E-02      1.302423390115E-02      9.800259836410E-03      8.682673914595E-03      8.112663866006E-03      7.762033807605E-03      7.521153843909E-03      7.343036005194E-03      7.204186199841E-03      7.091552107006E-03      1.305016977787E-01      5.127517954504E-04
     -5.800000000000E-01      3.752237390899E-02      1.351779692313E-02      1.017292138644E-02      9.011663661092E-03      8.418912579511E-03      8.053955771405E-03      7.802963792944E-03      7.617148260735E-03      7.472114853090E-03      7.354311110443E-03      1.327170907658E-01      5.265901273401E-04
     -5.900000000000E-01      3.866294877495E-02      1.402180105604E-02      1.055356329790E-02      9.347607803352E-03      8.731544853950E-03      8.351876774473E-03      8.090482245585E-03      7.896732814487E-03      7.745314097033E-03      7.622162474716E-03      1.349301552296E-01      5.404461692287E-04
     -6.000000000000E-01      3.981795738337E-02      1.453632123406E-02      1.094224837172E-02      9.690555852507E-03      9.050600718374E-03      8.655829245342E-03      8.383735048378E-03      8.181809568829E-03      8.023798336557E-03      7.895115447319E-03      1.371409026245E-01      5.543124548804E-04
     -6.100000000000E-01      4.098733720283E-02      1.506143298822E-02      1.133904006031E-02      1.004055770405E-02      9.376120347916E-03      8.965845556267E-03      8.682747813408E-03      8.472398031484E-03      8.307581436478E-03      8.173178603172E-03      1.393493452837E-01      5.681817730370E-04
     -6.200000000000E-01      4.217102743697E-02      1.559721257609E-02      1.174400256908E-02      1.039766372223E-02      9.708144135743E-03      9.281958085958E-03      8.987545973869E-03      8.768517365369E-03      8.596676766780E-03      8.456359886196E-03      1.415554951186E-01      5.820466505591E-04
     -6.300000000000E-01      4.336896865840E-02      1.614373679160E-02      1.215720071779E-02      1.076192461529E-02      1.004671257289E-02      9.604199101640E-03      9.298154667607E-03      9.070186273463E-03      8.891097088929E-03      8.744666497326E-03      1.437593642227E-01      5.959000371720E-04
     -6.400000000000E-01      4.458110278876E-02      1.670108298205E-02      1.257869995822E-02      1.113339144802E-02      1.039186625538E-02      9.932600761960E-03      9.614598736885E-03      9.377422996325E-03      9.190854551927E-03      9.038104889823E-03      1.459609645339E-01      6.097345722451E-04
     -6.500000000000E-01      4.580737352309E-02      1.726932932278E-02      1.300856658654E-02      1.151211582245E-02      1.074364604394E-02      1.026719526165E-02      9.936902861498E-03      9.690245435990E-03      9.495960808707E-03      9.336680879510E-03      1.481603085830E-01      6.235430447941E-04
     -6.600000000000E-01      4.704772581940E-02      1.784855455851E-02      1.344686755272E-02      1.189814970841E-02      1.110209290336E-02      1.060801467611E-02      1.026509140733E-02      1.000867100804E-02      9.806426871685E-03      9.640399504004E-03      1.503574088378E-01      6.373182616057E-04
     -6.700000000000E-01      4.830210582698E-02      1.843883798835E-02      1.389367045443E-02      1.229154543468E-02      1.146724788887E-02      1.095509094384E-02      1.059918840577E-02      1.033271661896E-02      1.012226308886E-02      9.949264998293E-03      1.525522777977E-01      6.510531149968E-04
     -6.800000000000E-01      4.957046106533E-02      1.904025959890E-02      1.434904364280E-02      1.269235577733E-02      1.183915222152E-02      1.130845593236E-02      1.093921761249E-02      1.066239871942E-02      1.044347919294E-02      1.026328084088E-02      1.547449280417E-01      6.647403867768E-04
     -6.900000000000E-01      5.085274030222E-02      1.965290001120E-02      1.481305618760E-02      1.310063392597E-02      1.221784725179E-02      1.166814139926E-02      1.128520246677E-02      1.099773326259E-02      1.077008425945E-02      1.058244971235E-02      1.569353724015E-01      6.783730440292E-04
     -7.000000000000E-01      5.214889366684E-02      2.027684058154E-02      1.528577795900E-02      1.351643355065E-02      1.260337451441E-02      1.203417903810E-02      1.163716613053E-02      1.133873573805E-02      1.110208673682E-02      1.090677352282E-02      1.591236239674E-01      6.919439821447E-04
     -7.100000000000E-01      5.345887221477E-02      2.091216316146E-02      1.576727945158E-02      1.393980864571E-02      1.299577558020E-02      1.240660033499E-02      1.199513134883E-02      1.168542103608E-02      1.143949431461E-02      1.123625328453E-02      1.613096957877E-01      7.054462251417E-04
     -7.200000000000E-01      5.478262829196E-02      2.155895033938E-02      1.625763197269E-02      1.437081368969E-02      1.339509219618E-02      1.278543669457E-02      1.235912056528E-02      1.203780355485E-02      1.178231402452E-02      1.157088920809E-02      1.634936011969E-01      7.188729299670E-04
     -7.300000000000E-01      5.612011526104E-02      2.221728529464E-02      1.675690753782E-02      1.480950355139E-02      1.380136619430E-02      1.317071935001E-02      1.272915583331E-02      1.239589711353E-02      1.213055215582E-02      1.191068062091E-02      1.656753536206E-01      7.322169420112E-04
     -7.400000000000E-01      5.747128742424E-02      2.288725176693E-02      1.726517885344E-02      1.525593347004E-02      1.421463946585E-02      1.356247933250E-02      1.310525878214E-02      1.275971491594E-02      1.248421421780E-02      1.225562592960E-02      1.678549666807E-01      7.454714423654E-04
     -7.500000000000E-01      5.883610060865E-02      2.356893445319E-02      1.778251962325E-02      1.571015931870E-02      1.463495419728E-02      1.396074768792E-02      1.348745081919E-02      1.312926974201E-02      1.284330512283E-02      1.260572279640E-02      1.700324543698E-01      7.586295777289E-04
     -7.600000000000E-01      6.021451132590E-02      2.426241849975E-02      1.830900417230E-02      1.617223727592E-02      1.506235256515E-02      1.436555518723E-02      1.387575285298E-02      1.350457368200E-02      1.320782893133E-02      1.296096789498E-02      1.722078307705E-01      7.716845004500E-04
     -7.700000000000E-01      6.160647684632E-02      2.496778954017E-02      1.884470747682E-02      1.664222384449E-02      1.549687674358E-02      1.477693232501E-02      1.427018528495E-02      1.388563812328E-02      1.357778883517E-02      1.332135689172E-02      1.743811100803E-01      7.846294872578E-04
     -7.800000000000E-01      6.301195600617E-02      2.568513425994E-02      1.938970560297E-02      1.712017623116E-02      1.593856924725E-02      1.519490963712E-02      1.467076830841E-02      1.427247403511E-02      1.395318743130E-02      1.368688471071E-02      1.765523069916E-01      7.974577247185E-04
     -7.900000000000E-01      6.443090820883E-02      2.641453976187E-02      1.994407523120E-02      1.760615193070E-02      1.638747254510E-02      1.561951733417E-02      1.507752155792E-02      1.466509163208E-02      1.433402639869E-02      1.405754522386E-02      1.787214362622E-01      8.101625109980E-04
     -8.000000000000E-01      6.586329342537E-02      2.715609356448E-02      2.050789366163E-02      1.810020872950E-02      1.684362905945E-02      1.605078529749E-02      1.549046410373E-02      1.506350036864E-02      1.472030649419E-02      1.443333124941E-02      1.808885126852E-01      8.227372834999E-04
     -8.100000000000E-01      6.730907299179E-02      2.790988415182E-02      2.108123923755E-02      1.860240506478E-02      1.730708148286E-02      1.648874336549E-02      1.590961471492E-02      1.546770918384E-02      1.511202778245E-02      1.481423476973E-02      1.830535516271E-01      8.351754562899E-04
     -8.200000000000E-01      6.876820927184E-02      2.867600076887E-02      2.166419119873E-02      1.911279989581E-02      1.777787265555E-02      1.693342121510E-02      1.633499174498E-02      1.587772639170E-02      1.550918953193E-02      1.520024683389E-02      1.852165688980E-01      8.474703722809E-04
     -8.300000000000E-01      7.024066510280E-02      2.945453305875E-02      2.225682941097E-02      1.963145246976E-02      1.825604534868E-02      1.738484815719E-02      1.676661293783E-02      1.629355949756E-02      1.591179004179E-02      1.559135739543E-02      1.873775802075E-01      8.596154757456E-04
     -8.400000000000E-01      7.172640437679E-02      3.024557145622E-02      2.285923467474E-02      2.015842258164E-02      1.874164249031E-02      1.784305333795E-02      1.720449561079E-02      1.671521536701E-02      1.631982680008E-02      1.598755546246E-02      1.895366020363E-01      8.716044303729E-04
     -8.500000000000E-01      7.322539143136E-02      3.104920682256E-02      2.347148845360E-02      2.069377034188E-02      1.923470695268E-02      1.830806554027E-02      1.764865646845E-02      1.714270005188E-02      1.673329632194E-02      1.638882894840E-02      1.916936505147E-01      8.834307453758E-04
     -8.600000000000E-01      7.473759213710E-02      3.186553114974E-02      2.409367341830E-02      2.123755663748E-02      1.973528195876E-02      1.877991355100E-02      1.809911194008E-02      1.757601910413E-02      1.715219444458E-02      1.679516495161E-02      1.938487429027E-01      8.950880962906E-04
     -8.700000000000E-01      7.626297246554E-02      3.269463660398E-02      2.472587272647E-02      2.178984251359E-02      2.024341052006E-02      1.925862563863E-02      1.855587769015E-02      1.801517711577E-02      1.757651589487E-02      1.720654934962E-02      1.960018963911E-01      9.065701049393E-04
     -8.800000000000E-01      7.780149941843E-02      3.353661619549E-02      2.536817054057E-02      2.235068961558E-02      2.075913582890E-02      1.974422991017E-02      1.901896894882E-02      1.846017802899E-02      1.800625458334E-02      1.762296708028E-02      1.981531285402E-01      9.178705454764E-04
     -8.900000000000E-01      7.935314093093E-02      3.439156369568E-02      2.602065197342E-02      2.292016013917E-02      2.128250120632E-02      2.023675425715E-02      1.948840045780E-02      1.891102508378E-02      1.844140355538E-02      1.804440209813E-02      2.003024575070E-01      9.289831870705E-04
     -9.000000000000E-01      8.091786555178E-02      3.525957343747E-02      2.668340294420E-02      2.349831670442E-02      2.181354998141E-02      2.073622623861E-02      1.996418635790E-02      1.936772071133E-02      1.888195489178E-02      1.847083728318E-02      2.024499017613E-01      9.399019097387E-04
     -9.100000000000E-01      8.249564267715E-02      3.614074046006E-02      2.735651029763E-02      2.408522245807E-02      2.235232557943E-02      2.124267315935E-02      2.044634026130E-02      1.983026660352E-02      1.932789977784E-02      1.890225451168E-02      2.045954803890E-01      9.506205252343E-04
     -9.200000000000E-01      8.408644275350E-02      3.703516067906E-02      2.804006194267E-02      2.468094118973E-02      2.289887161921E-02      2.175612215369E-02      2.093487532627E-02      2.029866378201E-02      1.977922856979E-02      1.933863472208E-02      2.067392132459E-01      9.611331582677E-04
     -9.300000000000E-01      8.569023517128E-02      3.794292940699E-02      2.873414573089E-02      2.528553637630E-02      2.345323105330E-02      2.227659939506E-02      2.142980352427E-02      2.077291191679E-02      2.023593016089E-02      1.977995732619E-02      2.088811188034E-01      9.714336000810E-04
     -9.400000000000E-01      8.730699280651E-02      3.886414456474E-02      2.943885191860E-02      2.589907327530E-02      2.401544803214E-02      2.280413179455E-02      2.193113720816E-02      2.125301078591E-02      2.069799334787E-02      2.022620149341E-02      2.110212183524E-01      9.815157572897E-04
     -9.500000000000E-01      8.893668760876E-02      3.979890350774E-02      3.015427075746E-02      2.652161687476E-02      2.458556606654E-02      2.333874531728E-02      2.243888755380E-02      2.173895882611E-02      2.116540548027E-02      2.067734489141E-02      2.131595332730E-01      9.913742482426E-04
